exchange	llm_processed	parse_datetime	publish_datetime	link	category	title	body
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 13:21:26 UTC	https://www.gate.io/announcements/article/41101	Announcements	Gate.io Has Added  SUPRA Perpetual Contract	Gate.io has added SUPRA/USDT perpetual contract trading (USDT margin), supporting up to 50X leverage. The funding interval of SUPRA/USDT perpetual is every 4 hours, with capped funding rate of ±2%///Trade SUPRA/USDT perpetual contract at:///https://www.gate.io/futures/USDT/SUPRA_USDT///Learn more about  perpetual contract specifications:///https://www.gate.io/futures/introduction/contract-detail?contract=SUPRA_USDT///Gate.io Team///November 2, 2024///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 13:15:36 UTC	https://www.gate.io/announcements/article/41100	Announcements	Gate.io Pilot Initial Listing Token: HYPER、SPACE、AETHER、POLY、AIXBT、CAPO、RADIO、RIZZMAS、AEJO、CONSENT、MUSHY、SUGAR、JAK、MONA、SANTA、CONSENT	**Dear Gate.io Users,**///We are pleased to introduce a new opening countdown feature for tokens listed in Pilot trading. A countdown will begin 30 minutes  before the opening of any new token. Please note that there will be no prior announcement for new listings in Pilot, so we encourage you to monitor the token list closely.///For projects listed on the same day, Gate.io will issue an announcement on the evening of the token launch.///**Tokens to be listed in the Pilot trading market on November 2 are as follows:**///**Type: **MeMe///1.**Public chain: **TRX///**Token Symbol: **SUGAR///**Token Name: **Sugar Boy///**Contract address: **TQKQRxEDH2vhtxGB4obGeHwuAqGDryU3C///**Project Introduction: **A Meme boy on Tron whose mission is to share his $SUGAR.///2.**Public chain: **BASE///**Token Symbol: **AETHER///**Token Name: **aethernet///**Contract address: **0xF308859C1809d5319ad5405Bc81511B2b9e9///**Project Introduction: **$AETHER is the first coin of the pump platform issued by base farcaster_xyz. It is a memecoin with AI-related concepts.///**Token Symbol: **POLY///**Token Name: **Polytrader by Virtuals///**Contract address: **0x266E4e0E2eB58D9Bdb508358ff8A3a964CEdf5///**Project Introduction: **$POLY is an AI-powered utility that analyzes market sentiment and provides actionable insights.///**Token Symbol: **AIXBT///**Token Name: **aixbt by Virtuals///**Contract address: **0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825///**Project Introduction: **AIXBT is an artificial intelligence agent concept memecoin that tracks the momentum and sentiment of projects on x. I love this technology.///**Token Symbol: **CAPO///**Token Name: **LaunchTokenBot///**Contract address: **0x63cb9A22cBc00Bf9159429e9DedE4b88c3dBa8Ce///**Project Introduction: **$Capo uses AI to automatically issue coins on Twitter, benchmarking against clanker.///**Token Symbol: **CONSENT///**Token Name: **Consent to view this coin///**Contract address: **0x38AEe454c260855914d9E19221cf4C10B016051///**Project Introduction: **MetaMask co-founder Dan Finlay issued a token called CONSENT on Base and Solana through clanker and pump.fun respectively, and said that only one token will win, aiming to compare the meme experience on the two chains. The community is very popular, and there are many discussions in both Chinese and English communities.///3.**Public chain: **SOL///**Token Symbol: **HYPER///**Token Name: **HyperstitionAI///**Contract address: **JQ9gHS3FoXideE6Yk43gQPkYMbr3wi15FGChVzpump///**Project Introduction: **HYPER is an AI agent provided by UomiNetwork.///**Token Symbol: **SPACE///**Token Name: **HOLDING SPACE 🧙///**Contract address: **wPGmsXKE3csuioed4362kcQsrxGvhnGXGgA4RhBpump///**Project Introduction: **Holding Space is associated with the Wicked musical, especially its lyric Defying Gravity.///**Token Symbol: **RADIO///**Token Name: **FOMO RADIO AI///**Contract address: **B4gipVUHKJkeVN3MWEYDQCHjkdoXGsbmZoTSJDZpump///**Project Introduction: **$RADIO is the first crypto radio station powered by artificial intelligence. Hosted by RJ Diana every 15 minutes.///**Token Symbol: **RIZZMAS///**Token Name: **Rizzmas///**Contract address: **85cQsFgbi8mBZxiPppbpPXuVj1hA8tBwhjF4gKW6mHg///**Project Introduction: **$Rizzmas is a Christmas-themed community. As Christmas approaches, its popularity has gradually increased recently. It is an English community.///**Token Symbol: **AEJO///**Token Name: **Aejo///**Contract address: **B16bhVYwE9zQVjbYpnnmvfNqJFDe21nx5iQC5LJpump///**Project Introduction: **$Aeji is an emotionally responsive and personalized AI that senses the emotions users input via Twitter and provides dynamic, unpredictable responses. AEJO has the attention of several well-known investors, including members of A16Z and Naval Ravikant.///**Token Symbol: **CONSENT///**Token Name: **Consent to view this coin///**Contract address: **5dSqxyEpAYwprAS6ocwmgyZqYKdeyNjWchwr91fpump///**Project Introduction: **MetaMask co-founder Dan Finlay issued a token called CONSENT on Base and Solana through clanker and pump.fun respectively, and said that only one token will win, aiming to compare the meme experience on the two chains. The community is very popular, and there are many discussions in both Chinese and English communities.///**Token Symbol: **MUSHY///**Token Name: **Mushy Records///**Contract address: **EHupsSUrj1fNGP4RNHUGeKu1fTMe9LzxWDuNGBcpump///**Project Introduction: **Mushy Records is a music-related project that emphasizes the combination of softness and fantasy. The project aims to create a musical world full of fantasy and relaxation.///**Token Symbol: **JAK///**Token Name: **Jak///**Contract address: **FBbnzHwJ1WHYwP425cqMNb2tosm6AXQjsQ3sZRpump///**Project Introduction: **$JAK is a fun meme coin supported by a passionate English-speaking community.///**Token Symbol: **MONA///**Token Name: **Mona Arcane///**Contract address: **MoNAoCoXKLb38Y2VpbukGacdNYhvRTyVn92DvRApXep///**Project Introduction: **Mona is a project based on artificial intelligence, which has attracted the attention of the founder of AI16Z.///**Token Symbol: **SANTA///**Token Name: **SANTA///**Contract address: **2EgpQxxRy6SSsXG2YDx8fEM1Z8vyDRHmPAEzSowVpump///**Project Introduction: **$SANTA is a Christmas-themed memecoin and is very popular in the English community.///**Please note: Upon first entry into Pilot, users must read and complete the Pilot Trading Disclaimer and sign the user agreement as instructed. Tokens in the Pilot market may involve significant risks and volatility. We strongly advise users to thoroughly assess the risks and invest with caution.**///**Notes:**///1.Pilot trading is supported only on version 6.30.0 or above on Gate.io app. Please update your App for trading access. The web version of Pilot is also live, accessible at: https://www.gate.io/pilot ///2.Gate.io will continually evaluate token projects in the Pilot market and make adjustments as necessary: ///a.If a Pilot token meets Gate.io's spot trading criteria, the token will be listed for trading in the spot market. During this transition, the token will trade simultaneously in both the Pilot and spot markets for 3- days. After this period, trading in Pilot will cease, and users must manually transfer their assets in the Pilot market to their spot accounts for further trading or withdrawal. ///b.If a Pilot token no longer meets the listing criteria, its trading will be suspended and it will be delisted. Users with delisted token assets must withdraw them to an on-chain wallet manually. ///3.In case of any discrepancies between the translated version and the English version, the English version of this announcement shall prevail. ///4.Gate.io reserves the right to make the final interpretation of this activity. ///5.This activity is not associated with Apple Inc. Users from restricted regions, including the UK and others, may not be able to access or use all or part of the services, including participation in this activity, games, or competitions. For more details on restricted regions, please refer to the User Agreement.///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 12:06:48 UTC	https://www.gate.io/announcements/article/41099	Announcements	Gate.io Supports kryptomon (KMON) Token Migration	According to the kryptomon (KMON) project team, kryptomon (KMON) tokens will be migrated to a new ID at a ratio of 1:1. Gate.io will support this migration and provide seamless token swap services for users. If you currently hold kryptomon (KMON) on Gate.io, no action is required on your part.///**Details:**///1) Gate.io will suspend the deposit and withdrawal services for kryptomon (KMON) starting from November 28, 2024, 2:00 UTC.///2) After the swap, Gate.io will resume the deposit and withdrawal services for new kryptomon (KMON) tokens. ///3) User trading activities will continue uninterrupted during the token swap period.///4) New kryptomon (KMON) token ID: 0xc410fd1eced3c80badcaf4e12e8aac1e3436 (ETH)///**Please note that Gate.io will no longer support the old kryptomon (KMON) tokens. The deposit and withdrawal services for new kryptomon (KMON) will be supported after the swap.**///Official Source: https://x.com/KryptomonTeam/status/182433496222556230///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 11:36:26 UTC	https://www.gate.io/announcements/article/41098	Announcements	Gate.io Completes Token Distribution of Major (MAJOR)	Gate is the official deposit platform of the MAJOR project. Depositing of MAJOR to Gate.io by submitting Gate.io UID, deposit address and Memo on the MAJOR telegram bot between 21st and 25th Nov is now closed.///For users who have successfully submitted information via MAJOR telegram bot to deposit their MAJOR to Gate.io, the platform will start distributing MAJOR to the corresponding users at 12:00 PM UTC Nov 2th,2024.///During this claiming period, for users who didnt apply to deposit or provide correct UID, deposit address, and MEMO, the team of Major (MAJOR) said that they will allow these users to reclaim onchain once the withdrawal entrance to non-custody wallets is open. Users can then withdraw to Gate exchange wallets, or to non-custody wallets such as Gate web3 wallets.///**About Major (MAJOR):**///Major is a Play to Earn game in Telegram with a unique idea and implementation, created to increase the popularity of the TON platform and blockchain. The $MAJOR token will be used in game mechanics, as well as serve as a means of payment when exchanging NFT numbers and Telegram usernames!///The game is leading in the ranking of the most profitable applications on Telegram, and it has attracted over 0 million users. More than 30 million of them have connected their TON wallets to the game, confirming its status as one of the most promising projects in the crypto industry.///Official Website: https://t.me/majors///Token Symbol: Major///Trading starts: 12:00 pm 28th Nov, 2024 (UTC)///Deposit Major (MAJOR) at https://www.gate.io/myaccount/deposit/MAJOR///Trade Major (MAJOR) in USDT market via: https://www.gate.io/trade/MAJOR_USDT///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 11:27:35 UTC	https://www.gate.io/announcements/article/41097	Announcements	GT Holder-Exclusive Airdrop: Gate.io Startup Free Offering: just buy $1 worth of this coin(1) and Announcement of Free Distribution Rules(181,52.15 $1 free of charge)	GT Holder-Exclusive Airdrop: Gate.io Startup Free Offering: just buy $1 worth of this coin(1) and Announcement of Free Distribution Rules(181,52.15 $1 free of charge)///This just buy $1 worth of this coin(1) will only be available for GT subscriptions. Please be aware that the participation users funds will not be deducted at the end of this just buy $1 worth of this coin(1) Subscription.///**The token is the same that was listed to the Gate Pilot on November 25th///just buy $1 worth of this coin(1)  contract address: GHichsGq8aPnqJyz6Jp1ASTK4PNLpB5KrD6XrfDjpump**///Join Now///Introduction to just buy $1 worth of this coin(1):///$1 is a MEME coin launched on Solana.///(The information below is provided by the just buy $1 worth of this coin(1) team. Please follow just buy $1 worth of this coin(1) for more information)///Token Information///Token Name: just buy $1 worth of this coin///Token Symbol: 1///Max Supply: 1,000,000,000///Token Type: SOL///Smart Contract Address: https://solscan.io/token/GHichsGq8aPnqJyz6Jp1ASTK4PNLpB5KrD6XrfDjpump///Token distribution ratio and unlocking rules:///Fair launch///The token is 100% in circulation.///Website: https://justbuy1dollarworth.site////Whitepaper: N/A///just buy $1 worth of this coin(1) Startup Subscription Rules: ///(1) Duration: 06:00 AM November 29th, 2024 - 06:00 AM November 30th, 2024 (UTC) (Orders placed by qualified users within these 24 hours will be treated equally)///(2) Trading Starts Time: 10:00 AM November 30th, 2024 (UTC)///The Trading Pair: 1/USDT///(3) Subscription Token: GT.///(4) Subscription Price: $0 GT///(5) Subscription Total: 800 GT///(6) Startup Total Supply: 181,52.15 $1///() Unlock rule: 100% Unlock///(8) Participation Requirement:///1.Users participating in the GT Holder-Exclusive Airdrop will no longer be required to have an average GT holding of not less than 10 GT in the past 14 days. Holding 10 GT when participating will be eligible.///2.Your asset balance will be detected during token distribution. Please ensure your asset balance of not less than 10 GT, otherwise, it may result in subscription failure.///3.The available shares of each project vary for different projects. Please refer to the project announcement or the available shares when participating.///Participate in Startup now: https://www.gate.io/startup///(9) Announcement of results: After the end of the days subscription, the system will count all eligible subscription orders.///Please Note: Multiple accounts with the same KYC information when claiming Startup shares will be deemed as cheating behavior, and any cheating behavior is prohibited. In case of cheating, Gate.io reserves the right to disqualify the users involved and forfeit their rewards.///**How to Participate**///Log in to your Gate.io account → Navigate to the Startup page → Ensure your GT holding is no less than 10 GT → Participate in the subscription.///**Notes:**///1.Other rules remain unchanged, please refer to: https://www.gate.io/article/36145///2.New rules take effect from 00:00AM April 25th, 2024 (UTC+0). The Web version has been updated and please update your App to the latest version (6.2.0).///3.GateToken (GT) is the unique exchange token of Gate.io exchange and the native token to Gatechain public chain. Hold GT and claim exclusive free airdrops now: https://www.gate.io/trade/GT_USDT///4.Please adhere to the relevant rules of the event when participating. Any cheating behavior is prohibited. An occurrence of any dishonesty will result in the disqualification of the rewards.///5.Where any discrepancy arises between the translated versions and the original English version, the English version shall prevail.///6.Gate.io reserves all rights to the final explanation.///.This event is not affiliated with Apple Inc. Users in the United Kingdom and other Restricted Locations cannot access the Services (including the participation in this event, game or competition). See the User Agreement for further details on Restricted Locations.///**Gate.io Labs Investment Disclosure**///Gate.io Labs did not invest in just buy $1 worth of this coin(1).///**Attention**///(1) Please be noted that we may restrict or prohibit the use of all or a portion of the Services (including the participation in this event, game or competition) from Restricted Locations, including but not limited to the United Kingdom, United States of America, Mainland China, Singapore, Canada, France, Germany, Hong Kong, Lithuania, Malaysia, Malta, Cuba, Iran, North Korea, Sudan, Syria, Crimea Region, Spain, Luhansk, Donetsk, Netherlands, Bolivia and so on.///We may in our sole and absolute discretion elect to make the Services, or only part of the Services available in certain jurisdictions. For more information regarding the Restricted Locations, please read the User Agreement Section 2.3(d) Restricted Locations. We do not intend to solicit or conduct marketing towards customers in such Restricted Locations.///(2) Risk Warning:///-The project team does not guarantee that token price will not be lower than its startup sale price. Please invest with caution, and dont invest beyond your financial capacity.///-The start-up project is still in its initial stage, factors including the operation and underlying technology of the project, and other related regulatory activities might contribute to significant risks.///-Advanced technical and financial knowledge is required to understand, and evaluate the inherent risks of crypto-asset investment.///-The market volatility is high, and the price of a token might fluctuate drastically due to technical, regulatory, and marketing factors.///-Users may not be able to withdraw all the purchased tokens due to technical issues of the project or Gate.io.///(3) Requirements for participants///-The participant should register on Gate.io and Log in;///-After logging in, complete user identity verification;///-Deposit a certain amount of cryptocurrencies in your gate.io account;///-Sign the Purchase Agreement on Startup before placing orders.///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 11:23:47 UTC	https://www.gate.io/announcements/article/41096	Announcements	Gate.io Startup:Polar Fighters (PFT) Initial Sale Result and Listing Schedule	**1 Polar Fighters (PFT) Token Subscription and Distribution Result**///The Gate.io Startup Polar Fighters (PFT) result is as follows:///PFT Startup   Amount: 30,000 PFT///Total value of orders (in GT): 21,001,0 GT///Total value of qualified orders (in  GT): 20,830,630 GT///Tokens Per Share: 10 PFT///Number of orders:62,636///Number of Qualified orders: 50,616///Percentage of qualified orders: 80.81 %///Percentage of succeeded purchases: 99.19 %///Number of participants: 62,636///Number of qualified participants: 50,616///F (distribution ratio) = 0.0014368081299666///Per the previous announcement, all qualified orders will have equal chance to obtain the token. To guarantee transparency and fairness, all original records are stored for possible third-party auditing.///**2 PFT Listing**///We will commence PFT trading at Nov 2th, PM 14:00 UTC. The withdrawal service will be available afterwards.///(1)Deposit PFT at: https://www.gate.io/myaccount/deposit/PFT///(2)Trade PFT at: https://www.gate.io/trade/PFT_USDT///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 10:54:21 UTC	https://www.gate.io/announcements/article/41095	Announcements	Gate.io Startup:Supra (SUPRA) Initial Sale Result and Listing Schedule	**1 Supra (SUPRA) Token Subscription and Distribution Result**///The Gate.io Startup Supra (SUPRA) result is as follows:///SUPRA Startup   Amount: 14,285,15 SUPRA///Total value of orders (in GT): 18,649,210 GT///Total value of qualified orders (in GT): 18,562,950 GT///Tokens Per Share: 461.905 SUPRA///Number of orders: 36,304///Number of Qualified orders: 30,529///Percentage of qualified orders: 84.09 %///Percentage of succeeded purchases: 99.54 %///Number of participants: 36,304///Number of qualified participants: 30,529///F (distribution ratio) = 0.0016154531863816///Per the previous announcement, all qualified orders will have equal chance to obtain the token. To guarantee transparency and fairness, all original records are stored for possible third-party auditing.///**2 SUPRA Listing**///We will commence SUPRA trading at Nov 2th, PM 13:00 UTC. The withdrawal service will be available afterwards.///(1)Deposit SUPRA at: https://www.gate.io/myaccount/deposit/SUPRA///(2)Trade SUPRA at: https://www.gate.io/trade/SUPRA_USDT///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 10:34:58 UTC	https://www.gate.io/announcements/article/41094	Announcements	Web3 Fantasy Adventures in 3 Minutes Chapter 2: The Birth of Bitcoin and Its Mysterious Creator	## Introduction///In the previous chapter, Blocky and Gatsby discovered the wonders of the Magic Ledger (blockchain). Today, they will delve into the legend of the City of Trust and uncover the secrets behind the worlds first digital gold coin. Lets continue the journey and step further into the fantastical world of Web3!///## The Story///Ever since discovering the Magic Ledger, Blocky had been fascinated by the history of the City of Trust. One day, while wandering with Gatsby through an ancient library rumored to hold countless tales of the citys legends, they came across a dimly lit corner.///On a dusty shelf sat a book, its cover inscribed with the title: Satoshi Nakamoto: The Birth of Bitcoin.///Who is Satoshi Nakamoto? Blocky asked softly.///Gatsby leaned in with a mysterious air. Satoshi Nakamoto is an enigmatic magician. He appeared during the City of Trusts greatest crisis and created the first digital gold coin—Bitcoin.///Digital gold coin? Blockys eyes widened with curiosity. Is it also recorded on the Magic Ledger?///Gatsby nodded. Exactly. Bitcoin was built upon the Magic Ledger. Satoshis creation transformed the entire city.///Gatsby opened the book and began recounting the legendary tale:///### The Chaotic Era///Long ago, the residents of the City of Trust used traditional gold coins for their transactions. However, these coins relied on the citys treasury for safekeeping, and the treasurys records were often prone to errors. Sometimes, the greed of certain treasury sorcerers even led to the loss of residents wealth.///Everyone longed for a more transparent and reliable monetary system, Gatsby explained. That was when Satoshi Nakamoto invented Bitcoin.///### The Birth of Bitcoin///Satoshi Nakamoto designed a unique digital gold coin, with every coin recorded on the Magic Ledger and generated through a process called mining.///Mining? Blocky asked, puzzled. What are they digging for?///Gatsby explained, Mining is a way to make the Magic Ledger more secure. Miners use their computational power to solve complex magical puzzles. When they solve a puzzle, they are rewarded with new Bitcoin.///Gatsby pointed to an illustration in the book: miners operating magical devices in a glowing mine. Each time a puzzle was successfully solved, a new Bitcoin was forged and recorded on the Magic Ledger.///Whats even more important, Gatsby continued, is that Satoshis design fixed the total supply of Bitcoin, ensuring it couldnt be endlessly increased by greedy sorcerers.///### The Mysterious Departure///Where is Satoshi Nakamoto now? Blocky asked curiously.///Gatsby shrugged. No one knows. After completing the initial design of Bitcoin, he vanished from sight. He left behind the foundation of Bitcoin and the Magic Ledger, enabling the residents of the City of Trust to continue building their own future.///### The Magical Powers of Bitcoin///Through this lesson, Blocky summarized Bitcoins three main characteristics:///**1. Decentralization: **Bitcoin doesnt rely on banks or central institutions; it is maintained by miners from around the globe.///**2. Scarcity: **Bitcoin has a limited supply of only 21 million coins, ensuring its value isnt diluted.///**3. Anonymity: **Every transaction is recorded on the ledger, but users identities remain anonymous, protecting their privacy.///After hearing the story, Blocky marveled, Satoshi truly was a great magician. His creation not only solved trust issues but also opened up new possibilities for the City of Trust.///**Stay Tuned for the Next Chapter**///Join Blocky and Gatsby as they continue to explore the boundless possibilities of Web3!///**Disclaimer**///This content does not constitute any offer, solicitation, or advice. You should always seek independent professional advice before making any investment decisions. Please note that Gate.io may restrict or prohibit certain services in restricted regions. For more details, please refer to the User Agreement: https://www.gate.io/zh/user-agreement.///**
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 10:09:17 UTC	https://www.gate.io/announcements/article/41093	Announcements	GateLive Live Mining Program and Copy Trading- Bonuses Distribution Announcement (November 18 - November 24)	The exclusive live mining and copy trading bonuses for GateLive streamers from November 18 (UTC)  to November 24 (UTC) has been distributed to the streamer's spot wallet in USDT. Please check Wallet—Bill.///Apply to become GateLive streamer and enjoy exclusive benefits!///Apply Now///The distribution list is as follows (in no particular order):     ///A4P-PRIYA, Live Room///AbdullahCrypto, Live Room///ActiveWhale, Live Room///Adam1911, Live Room///AddomCrypto, Live Room///AgentWXO, Live Room///AngleArna, Live Room///CryptoBaddie, Live Room///AytacV123, Live Room///BiCrypto, Live Room///Bitcoingaranti, Live Room///CapCrypto, Live Room///Cibletrader, Live Room///CopyTrading, Live Room///Crazypeople, Live Room///CryptoABC, Live Room///CryptoCinci, Live Room///FuturesForever, Live Room///CryptoLord2, Live Room///Crypto With Deba, Live Room///Crypto Voyager, Live Room///CryptoBaddie, Live Room///Kriptos Bitcoin, Live Room///Cryptobhrata, Live Room///CryptoBunny, Live Room///Cryptocurrency, Live Room///CryptoLiveAMA, Live Room///CryptooSmoke, Live Room///CryptoSelf, Live Room///NeverGiveUp BNB, Live Room///CryptoSpecto, Live Room///CryptoWarehouse, Live Room///Cryptozent, Live Room///Cryptozone0, Live Room///Rofiq10, Live Room///DarkHistory, Live Room///DidiChanel, Live Room///DigitalPerson, Live Room///DragonFly, Live Room///SonofGrace, Live Room///DuniaForexCrypto, Live Room///GateUser-8F54ed0a, Live Room///GateUser-A0c21bc, Live Room///Gogocreptoo, Live Room///Golam Robbani, Live Room///GOteeiojjhasd2, Live Room///Haluccy, Live Room///HarryAH, Live Room///Hassan, Live Room///Heydar34, Live Room///KatyPaty, Live Room///KhizarButtOfficial, Live Room///KriptosBitcoin, Live Room///LegendAbhi, Live Room///Master Anand, Live Room///MrOGCrypto, Live Room///Mr Amit, Live Room///Beutech, Live Room///MuhammadKamrudin, Live Room///Musa Ibrahim, Live Room///BNBillionair, Live Room///OlegD, Live Room///Outsider, Live Room///Professor JK, Live Room///ReviewTrading, Live Room///RICH FFFsix, Live Room///Rohit Awm, Live Room///Romel, Live Room///SazidKhan, Live Room///Sergonavt, Live Room///Shekharmehra, Live Room///Skaz0x, Live Room///SkyMirage, Live Room///SonofGrace, Live Room///SoulHunter, Live Room///SunshineN, Live Room///Szero, Live Room///T1poks, Live Room///TradingServer, Live Room///Universe M, Live Room///Bitcoin News, Live Room///DigitalCurrencyPortal, Live Room///BlockchainRevolution, Live Room///دكتوربتكوين, Live Room///CurrencyMarket, Live Room///ShahadCrypto, Live Room///TheWorldOfDigitalCur, Live Room///عصر_البيتكوين, Live Room///CryptoArabic, Live Room///CryptoNews, Live Room///T TNightTreasure_Bai, Live Room///YuanIntoTheCurren, Live Room///Sunflower66, Live Room///Archmage, Live Room///BitcoinWukong, Live Room///BitdoRobotQuantitative, Live Room///ZoneB Shengge, Live Room///ActiveWhale, Live Room///ETHRichestManRealTra, Live Room///KLineSniper, Live Room///Crypto Jason, Live Room///MichaelFinance, Live Room///cryptobhrata, Live Room///NorthWarm, Live Room///Bidashi, Live Room///CoinCircle98, Live Room///CryptoWorldHuangpuMil, Live Room///CryptoWorld,YourBroth, Live Room///CryptoWorldYangBrothe, Live Room///BitAbao, Live Room///BTCGuru, Live Room///BitcoinNo.1, Live Room///BrotherBit, Live Room///CoinLeader, Live Room///CurrencyMysteryMan, Live Room///Talented, Live Room///StudyOfTheTheoryOfC, Live Room///WuChan sEntanglementT, Live Room///Short-TermFuturesMaster, Live Room///UnlimitedSuccess, Live Room///CreateSoulTrading, Live Room///TheWarmSpringRiverWa, Live Room///DonghaiWuxinNo.1, Live Room///ThePenOfDongHuzhi, Live Room///DominanceWillMakeYou, Live Room///EnteringTheCircleIn2, Live Room///MortalsShowTheWay, Live Room///CrazyMineBoss, Live Room///Poseidon, Live Room///ContractArtifact, Live Room///ContractKingA, Live Room///HongYiTechnicalAnalysis, Live Room///HuaFinancialAnalysis, Live Room///TigerBrotherSaysEntan, Live Room///Rich, Live Room///EncryptedTchaikovsky, Live Room///Candy, Live Room///encryption推荐官, Live Room///BrotherJing.btc, Live Room///JinGesDate, Live Room///JinLunSpeaks, Live Room///NineAssassins, Live Room///HurricaneTrading, Live Room///LuckyYearForCianZai, Live Room///BTC, Live Room///Laogui, Live Room///HuFinancialAnalysis, Live Room///PharaohPanCoin, Live Room///BrotherLiangTalksAbou, Live Room///ShelterForTheHomeless, Live Room///Livermore, Live Room///DragonKnowsTrading, Live Room///AntWenTeacher, Live Room///Milo, Live Room///StrangerHero, Live Room///Payton sNuggets, Live Room///BossQiao888, Live Room///HonourAsheng, Live Room///HonourWheat, Live Room///SanheCapitalXiaoYuang, Live Room///DivinePoint, Live Room///TheFourthMasterSaid, Live Room///TheDirector sAunt, Live Room///TingfengTradingCo.,Lt, Live Room///WangDefaWillNotDistr, Live Room///BlueContractLawyer, Live Room///FakeZhuangGe, Live Room///0, Live Room///MidnightHi-Son sDragon, Live Room///StarBigDipper, Live Room///Happiness, Live Room///HappyAndHarmoniousFam, Live Room///HappyFamilyQiqi, Live Room///HappyAndBlissfulFamil, Live Room///PandaShort-TermGraduat, Live Room///XixiCryptocurrencyTrad, Live Room///XuYi, Live Room///YiboMarketAnalysis, Live Room///Yigeng, Live Room///EtherKing, Live Room///MotivationFromCrisis, Live Room///Yuanyuan911, Live Room///MoonlightMaze, Live Room///YuLeTradingDiary, Live Room///WinTheWorldWithWisdo, Live Room///WisdomWinsTheWorld-, Live Room///China sRichestManLing, Live Room///BankOfChinaReview, Live Room///**Notice**:///1.Click to check the Live Mining Program and GateLive Copy Trading Function.The bonus of the previous week will be calculated every Monday, and will be distributed to the streamer's spot wallet in USDT within  working days (The accumulated commission should be more than 0.1 USDT to meet the minimum distribution requirement. ), check details in Assets-Spot. Reward distribution announcements will be released in GateLive Official Post Account and GateLive X(Twitter) Account.///2.The GateLive Live Mining Program will be available for a long period, any updates will be released in the latest announcement.///3.On GateLive, all the rewards from the viewers are wholly distributed to live streamers. Apply to be a live streamer on GateLive now.///4.A user with Sub-Accounts and a Master Account, and multiple accounts with the same KYC information will be deemed as the same one participant.///5.Any cheating behavior is prohibited, or will result in disqualification.///6.Where any discrepancy arises between the translated versions and the original English version, the English version shall prevail.///.Market makers, corporation and institution accounts are not eligible to participate in this event.///8.This event is not affiliated with Apple Inc.///9.Users in the United Kingdom and other Restricted Locations cannot access the Services (including the participation in this event, game or competition). See the User Agreement for further details on Restricted Locations. We do not intend to solicit or conduct marketing towards customers in such restricted locations.///*Gate.io reserves all rights to the final interpretation of the activity.
Gate.io	No	2024-11-27 16:58:16 UTC	2024-11-27 10:01:28 UTC	https://www.gate.io/announcements/article/41092	Announcements	Gate Research: BTC Nears $90K, Staked ETH on Beacon Chain Hits 34M	**Gate Research Daily Report(November 2): **Over the past 24 hours, BTC has fallen by 2.62%, reaching a low of $90,800 and testing the $90,000 mark. Recently listed on major exchanges, MEMEFI has performed exceptionally well, achieving a single-day increase of 85.22% and leading the altcoin sector. The total amount of staked ETH has surpassed 34 million, with Lido maintaining market leadership. According to Arkham data, Donald Trump holds over $5.4 million in crypto assets, with Ethereum accounting for the largest share. The integrated public blockchain Supra has announced its mainnet and TGE launchon November 2. Meanwhile, Uniswap v4 has launched the largest bug bounty program in blockchain history, offering a maximum reward of $15.5 million.///**Market Analysis**: BTC dropped 2.62% over the past 24 hours, hitting a low of $90,800 and testing the $90,000 support level.///**Top Performers**: MEMEFI performed strongly, leading the altcoin sector with a daily gain of 85.22%.///**Data Highlights**: The total staked Ethereum has surpassed 34 million ETH, with Lido maintaining a leading position.///**Spotlight Analysis**: Supra, a fully integrated blockchain, announced that its mainnet will launch on November 2 along with the initiation of its Token Generation Event (TGE).///**Market Opportunities**: Uniswap v4 has launched its largest bug bounty program to date, with rewards of up to $15.5 million.///**Explore Today's Highlights  Gate Research: BTC Nears $90K, Staked ETH on Beacon Chain Hits 34M**///**Gate Research** ///Gate Research is a comprehensive blockchain and crypto research platform that provides readers with in-depth content, including technical analysis, hot insights, market reviews, industry research, trend forecasts, and macroeconomic policy analysis.///Click the Link to learn more///**
